year;brand;satisfactionScore
2003;GMC;83
2004;GMC;80
2005;GMC;81
2006;GMC;82
2007;GMC;82
2008;GMC;83
2009;GMC;82
2010;GMC;84
2011;GMC;83
2012;GMC;80
2013;GMC;85
2014;GMC;82
2015;GMC;78
2016;GMC;84
2017;GMC;84
2018;GMC;80
2019;GMC;78
2020;GMC;78
1995;All Others;81
1996;All Others;79
1997;All Others;73
1998;All Others;74
1999;All Others;76
2000;All Others;75
2001;All Others;79
2002;All Others;77
2003;All Others;75
2004;All Others;78
2005;All Others;76
2006;All Others;78
2007;All Others;80
2008;All Others;82
2009;All Others;80
2010;All Others;78
2011;All Others;81
2012;All Others;82
2013;All Others;81
2014;All Others;81
2015;All Others;75
2016;All Others;80
2017;All Others;80
2018;All Others;78
2019;All Others;76
2020;All Others;76
1995;Ram;NA
1996;Ram;NA
1997;Ram;NA
1998;Ram;NA
1999;Ram;NA
2000;Ram;NA
2001;Ram;NA
2002;Ram;NA
2003;Ram;NA
2004;Ram;NA
2005;Ram;NA
2006;Ram;NA
2007;Ram;NA
2008;Ram;NA
2009;Ram;NA
2010;Ram;NA
2011;Ram;NA
2012;Ram;NA
2013;Ram;NA
2014;Ram;NA
2015;Ram;NA
2016;Ram;NA
2017;Ram;NA
2018;Ram;80
2019;Ram;80
2020;Ram;80
