region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Slovenia;2015;1078737;594627;8582;473665;142;288;10445;594627;NA;NA;473665;NA;NA;NA;NA;NA;NA;1433
Slovenia;2016;1096523;583837;9422;500659;156;457;12027;583837;NA;NA;500659;NA;NA;NA;NA;NA;NA;1992
Slovenia;2017;1117935;575060;9952;528809;217;779;14066;575060;NA;NA;528809;NA;NA;NA;NA;NA;NA;3118
Slovenia;2018;1143150;571225;10200;555500;236;1308;16425;571225;NA;NA;555500;NA;NA;NA;NA;NA;NA;4681
Slovakia;2012;1824200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2013;1879800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2014;1949100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2015;2034574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2016;2121774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2017;2223117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Slovakia;2018;2321608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Finland;2012;3037000;2369000;0;664000;0;0;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4000
Finland;2013;3105834;2396000;0;705045;0;NA;5000;2396000;0;NA;705000;0;NA;NA;NA;NA;NA;5000
Finland;2014;3172735;2421176;1;746323;227;386;5236;2420673;NA;503;746204;NA;119;0;3360;0;1094;168
Finland;2015;3234860;2445118;1;783760;263;657;5982;2433842;10317;959;783305;320;135;0;3544;1;1344;173
Finland;2016;3322672;2487771;2;828194;322;889;6707;2470187;15354;2230;827545;405;244;1;3694;NA;1632;167
Finland;2017;3398937;2522890;2;867128;518;1538;8919;2493115;24472;5303;866085;528;515;1;3870;NA;2814;176
Finland;2018;3470507;2556426;2;901393;858;2500;12688;2506870;37334;12222;899468;867;1058;1;4156;NA;5002;169
Sweden;2012;4446349;3260349;23;924246;5750;603;261754;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;255378
Sweden;2013;4494661;3158462;22;1068962;6859;1010;267237;3129764;27571;1127;1067664;789;509;3;40;2;30450;228851
Sweden;2014;4584711;3086543;30;1226068;8148;2172;272100;3048863;33904;3776;1223891;1033;1144;3;41;2;31929;229775
Sweden;2015;4668262;3008460;27;1383982;8551;4765;275820;2958545;41640;8275;1381379;1104;1499;4;38;2;34101;228332
Sweden;2016;4767262;2958165;21;1532855;8403;7532;276242;2887727;54085;16353;1529329;1050;2476;23;45;2;35273;224943
Sweden;2017;4844823;2921057;17;1648565;8041;11034;275200;2821635;70408;29014;1644384;953;3228;34;59;2;35648;220365
Sweden;2018;4869979;2889461;14;1708781;7531;16664;271735;2754808;89219;45434;1703971;867;3943;41;67;1;34913;212504
United Kingdom;2012;28722000;19159000;20000;9385000;1000;4000;179000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;154000
United Kingdom;2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
United Kingdom;2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
United Kingdom;2015;30250294;18747234;NA;1438382;511;24683;64678;18511680;235554;NA;11428851;9531;NA;NA;NA;NA;39160;404
United Kingdom;2016;30850440;18718202;NA;12062977;451;33434;69261;18410464;307738;NA;12052142;10835;NA;7;NA;NA;34986;383
United Kingdom;2017;31200182;18755110;NA;12371742;402;41218;72952;18348092;322237;84781;12360237;10464;1419;68;NA;NA;30894;370
